Novedad,Marca,Clase,Codigo,Homologocodigo,Referencia1,Referencia2,Referencia3,Peso,IdServicio,Servicio,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Bcpp,Importado,Potencia,TipoCaja,Cilindraje,Nacionalidad,CapacidadPasajeros,CapacidadCarga,Puertas,AireAcondicionado,Ejes,Estado,Combustible,Transmision,Um,PesoCategoria
"A","MITSUBISHI","AUTOMOVIL","06201068",,"MIRAGE","1.2L","AT 1200CC 5P 2AB",855,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39900,43500,0,0,0,0,43500,54400,1,76,"AT",1193,"JAP",5,0,5,1,2,"ACTIVO","GSL","4X2",0,1
"A","MITSUBISHI","AUTOMOVIL","06201069",,"MIRAGE","1.2L","MT 1200CC 5P 2AB",855,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35300,40900,0,0,0,0,40900,51100,1,76,"MT",1193,"JAP",5,0,5,1,2,"ACTIVO","GSL","4X2",0,1
"A","DS","AUTOMOVIL","40301004",,"DS5","SPORT","TP 1600CC T 5P TC CT",1429,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,114000,0,0,120000,150000,1,165,"TP",1598,"FRA",5,0,5,1,2,"ACTIVO","GSL","4X2",0,1
"N","DS","AUTOMOVIL","40301005",,"DS3","VTI","MT 1600CC 3P",1090,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52600,56400,0,0,60000,75000,1,118,"MT",1598,"FRA",5,0,3,1,2,"ACTIVO","GSL","4X2",0,1
"M","DS","CAMIONETA PASAJ.","40306001",,"DS7","AVANTGARDE","TP 1600CC T TC CT",1425,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137000,141000,150000,187500,1,165,"TP",1598,"FRA",5,0,5,1,2,"ACTIVO","GSL","4X2",0,1
"N","DS","CAMIONETA PASAJ.","40306002",,"DS7","PERFORMANCE LINE","TP 1600CC T CT",1425,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114200,117500,125000,156300,1,165,"TP",1598,"FRA",5,0,5,1,2,"ACTIVO","GSL","4X2",0,1
"N","DS","CAMIONETA PASAJ.","40306003",,"DS7","AUDACE","TP 1600CC T",1425,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104400,0,137000,171300,1,165,"TP",1598,"FRA",5,0,5,1,2,"ACTIVO","GSL","4X2",1,1
"N","DS","CAMIONETA PASAJ.","40306004",,"DS7","AVANTGARDE","TP 2000CC TD TC CT",1535,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138900,0,157000,196300,1,180,"TP",1997,"FRA",5,0,5,1,2,"ACTIVO","DSL","4X2",0,2
"M","DS","CAMIONETA PASAJ.","40306005",,"DS7","PERFORMANCE LINE","TP 1600CC T CT [220HP]",1428,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161000,201300,1,220,"TP",1598,"FRA",5,0,5,1,2,"ACTIVO","GSL","4X2",1,1
"N","DS","CAMIONETA PASAJ.","40306006",,"DS7","AVANTGARDE","TP 1600CC T TC CT [220HP]",1498,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176000,220000,1,220,"TP",1598,"FRA",5,0,5,1,2,"ACTIVO","GSL","4X2",1,2
"A","MACBOR","MOTOCICLETA","40417001",,"MASTER","125","MT 125CC",128,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,0,4000,4300,5400,1,10,"MT",125,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"A","MACBOR","MOTOCICLETA","40417002",,"ROCKSTER","125","MT 125CC",142,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200,5600,5900,6300,7900,1,10,"MT",125,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"N","MACBOR","MOTOCICLETA","40417003",,"SPEED MASTER","150","MT 150CC",110,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700,0,4300,4600,5800,1,13,"MT",149,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"A","KENBO","CAMIONETA PASAJ.","40506001",,"K SEVEN S3","BJ6441BJV1A","MT 1500CC 2AB ABS",1410,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50400,0,0,53000,66300,1,111,"MT",1498,"CHI",7,0,5,1,2,"ACTIVO","GSL","4X2",0,1
"N","VOLTA","MOTOCICLETA","40617001",,"BCN SPORT","11000W","ELEC",135,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30400,36100,0,38000,47500,1,15,"AT",0,"ESP",2,0,0,0,2,"ACTIVO","ELT","2X1",0,1
"N","CFMOTO","MOTOCICLETA","40717001",,"NK","400","MT 400CC",206,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14900,0,16000,20000,1,41,"MT",400,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"N","CFMOTO","MOTOCICLETA","40717002",,"NK","650","MT 650CC",203,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21400,0,0,23000,28800,1,60,"MT",650,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"N","CFMOTO","MOTOCICLETA","40717003",,"MT","650","MT 650CC",213,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500,0,25900,27500,34400,1,70,"MT",650,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"N","CFMOTO","MOTOCICLETA","40717004",,"NK","250","MT 250CC",151,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10700,11400,12000,15000,1,27,"MT",249,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"M","RAM","CAMIONETA REPAR","40807001",,"V700","RAPID","MT 1400CC",1117,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37300,46100,51000,63800,1,86,"MT",1368,"BRA",2,650,4,1,2,"ACTIVO","GSL","4X2",0,1
"M","RAM","PICKUP DOBLE CAB","40821001",,"1000","BIG HORN","TP 1800CC",1660,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84600,94000,117500,1,128,"TP",1747,"BRA",2,650,4,1,2,"ACTIVO","GSL","4X2",0,2
"N","RAM","PICKUP DOBLE CAB","40821002",,"RAM [4]","DS 1500 SLT CREW CAB","TP 3600CC 4X4",2342,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145700,0,175000,218800,1,305,"TP",3600,"USA",5,742,4,1,2,"ACTIVO","GSL","4X4",0,2
"N","RAM","PICKUP DOBLE CAB","40821003",,"RAM [5]","DT 1500 LARAMIE CREW CAB","TP 5700CC 4X4",2444,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206800,0,220000,275000,1,395,"TP",5654,"USA",5,777,4,1,2,"ACTIVO","GSL","4X4",0,2
"N","RAM","PICKUP DOBLE CAB","40821004",,"RAM [5]","DT 1500 BIG HORN CREW CAB","TP 5700CC 4X4",2444,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197400,0,210000,262500,1,395,"TP",5654,"USA",5,777,4,1,2,"ACTIVO","GSL","4X4",0,2
"N","RAM","PICKUP DOBLE CAB","40821005",,"RAM [5]","DT 1500 BIG HORN ETORQ CREW CAB HYBRID","TP 3600CC 4X4",2312,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188000,200000,250000,1,305,"TP",3604,"USA",5,818,4,1,2,"ACTIVO","GSL","4X4",0,2
"N","RAM","PICKUP SENCILLA","40820001",,"700","EXPRESS","MT 1400CC",1080,2,"Publico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39100,45100,50000,62500,1,86,"MT",1368,"BRA",2,705,2,1,2,"ACTIVO","GSL","4X2",0,1
"N","SOUEAST","CAMIONETA PASAJ.","40906001",,"DX7","BASICA","MT 1500CC T 4X2 2AB ABS TC",1860,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74000,0,77900,97400,1,156,"MT",1499,"CHI",5,0,5,1,2,"ACTIVO","GSL","4X2",0,2
"N","SOUEAST","CAMIONETA PASAJ.","40906002",,"DX3","1.5","MT 1500CC 4X2 2AB ABS CT",1285,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60700,0,63900,79900,1,118,"MT",1499,"CHI",5,0,5,1,2,"ACTIVO","GSL","4X2",0,1
"N","SOUEAST","CAMIONETA PASAJ.","40906003",,"DX3","1.5T","TP 1500CC T 4X2 2AB ABS CT",1340,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66400,0,69900,87400,1,154,"TP",1499,"CHI",5,0,5,1,2,"ACTIVO","GSL","4X2",0,1
"N","SOUEAST","CAMIONETA PASAJ.","40906004",,"DX7","BASICA","TP 1500CC T 4X2 2AB ABS TC",1860,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79700,0,83900,104900,1,156,"TP",1499,"CHI",5,0,5,1,2,"ACTIVO","GSL","4X2",0,2
"N","YGM","MOTOCICLETA","41017001",,"RS","300","MT 300CC",125,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,0,0,0,6300,7900,1,19,"MT",270,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"N","SHACMAN","VOLQUETA","41126001",,"F3000","SX3255DR384C","MT 10800CC TD 6X4",12500,2,"Publico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203000,0,0,0,264800,0,0,287800,359800,1,345,"MT",10800,"CHI",2,29000,2,1,3,"ACTIVO","DSL","6X4",0,0
"N","AT AMERICAN TRAILERS","REMOLQUE","41225001",,"TANQUE","INOXIDABLE","3 EJES",8000,2,"Publico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69900,0,0,0,0,0,0,0,150000,187500,1,0,"",0,"MEX",0,34000,0,0,3,"ACTIVO","",,0,0
"N","BETA","MOTOCICLETA","41317001",,"PREDATOR","MTX 350","MT 350CC",133,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27700,29200,30700,38400,1,27,"MT",350,"ITA",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"M","ZERO","MOTOCICLETA","41417002",,"FXS","ENDURO","ELEC",133,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40900,44500,49500,61900,1,45,"",0,"USA",2,0,0,0,2,"ACTIVO","ELT","2X1",0,1
"N","ZERO","MOTOCICLETA","41417004",,"FX","ENDURO","ELEC",131,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500,49500,61900,1,46,"",0,"USA",2,0,0,0,2,"ACTIVO","ELT","2X1",0,1
"M","ZERO","MOTOCICLETA","41417001",,"DSR","TURISMO","ELEC",190,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57400,62500,69500,86900,1,69,"",0,"USA",2,0,0,0,2,"ACTIVO","ELT","2X1",0,1
"M","ZERO","MOTOCICLETA","41417003",,"S","TURISMO","ELEC",142,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500,49500,61900,1,46,"",0,"USA",2,0,0,0,2,"ACTIVO","ELT","2X1",0,1
"N","NIU","MOTOCICLETA","41517001",,"M+","1200W","ELEC",90,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,6000,7500,1,2,"",0,"CHI",2,0,0,0,2,"ACTIVO","ELT","2X1",0,1
"N","NIU","MOTOCICLETA","41517002",,"N-SERIES","1500W","ELEC",95,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200,0,6500,8100,1,2,"",0,"CHI",2,0,0,0,2,"ACTIVO","ELT","2X1",0,1
"N","NIU","MOTOCICLETA","41517003",,"NGT","3000W","ELEC",100,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,0,10400,13000,1,4,"",0,"CHI",2,0,0,0,2,"ACTIVO","ELT","2X1",0,1
"N","ANDES","MOTOCICLETA","41617001",,"PREDATOR","MTX 150","MT 150CC",110,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300,0,8900,11100,1,11,"MT",149,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"N","ANDES","MOTOCICLETA","41617002",,"PREDATOR","MTX 200","MT 200CC",120,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13200,0,14200,17800,1,14,"MT",196,"CHI",2,0,0,0,2,"ACTIVO","GSL","2X1",0,1
"N","STARK","CHASIS","41711001",,"STQ","1079L02Y1NBEV","AT 120KW 4X2 ABS",3250,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190000,0,200000,250000,1,161,"AT",0,"CHI",2,4115,2,1,2,"ACTIVO","ELT","4X2",0,2
"N","KARRY","CAMIONETA REPAR","41807001",,"YOYO","CARGO","MT 1200CC 2AB ABS",1230,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45600,48000,60000,1,79,"MT",1173,"CHI",2,640,5,1,2,"ACTIVO","GSL","4X2",0,1
"N","KARRY","PICKUP SENCILLA","41820001",,"YOKI","MINI TRUCK","MT 1100CC 2AB ABS",1000,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000,40000,50000,1,74,"MT",1083,"CHI",2,980,2,1,2,"ACTIVO","GSL","4X2",0,1
"N","GBM MOTORS","AUTOMOVIL","41901001",,"OZARU","E","AT 3KW",625,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25800,28000,35000,1,4,"AT",0,"CHI",4,0,5,1,2,"ACTIVO","ELT","4X2",0,1
"N","COMBAT","MOTOCICLETA","42017001",,"COMBAT","125","MT 125CC",113,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,4000,0,11,"MT",124,"COL",2,0,0,0,2,"ACTIVO","GSL","2X1",1,1
"N","CERONTE","MOTOCARRO","42119001",,"TRICARGO","200","MT 2000CC PT",380,1,"Particular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11300,13000,0,13,"MT",197,"COL",1,0,0,0,2,"ACTIVO","GSL","3X1",1,1
